route_long_name,route_type,route_text_color,route_color,agency_id,route_id,route_url,route_desc,route_short_name
,3,,,KCM,100157,http://metro.kingcounty.gov/tops/bus/schedules/s266_0_.html,Seattle/Redmond,266
,3,,,KCM,100156,http://metro.kingcounty.gov/tops/bus/schedules/s265_0_.html,Redmond/Seattle Express,265
,3,,,KCM,100024,http://metro.kingcounty.gov/tops/bus/schedules/s125_0_.html,Shorewood to CBD via SSCC,125
,3,,,KCM,100089,http://metro.kingcounty.gov/tops/bus/schedules/s002_0_.html,Route 2,2
,3,,,KCM,100088,http://metro.kingcounty.gov/tops/bus/schedules/s197_0_.html,Twin Lakes P&R/Federal Way/Univ Dist,197
,3,,,KCM,100151,http://metro.kingcounty.gov/tops/bus/schedules/s026_0_.html,Latona,26
,3,,,KCM,100022,http://metro.kingcounty.gov/tops/bus/schedules/s123_0_.html,Gregory Heights express,123
,3,,,KCM,100254,http://metro.kingcounty.gov/tops/bus/schedules/s065_0_.html,NTC to UW via 5th AV NE  Roosevelt Wy,65
,3,,,KCM,100084,http://metro.kingcounty.gov/tops/bus/schedules/s192_0_.html,S. Military Rd. - K.D.M. - I-5 to Seneca St.,192
,3,,,KCM,100087,http://metro.kingcounty.gov/tops/bus/schedules/s196_0_.html,So Federal Way - Seattle,196
,3,,,KCM,100525,http://metro.kingcounty.gov/tops/bus/schedules/s980_0_.html,Lakeside,980
,3,,,KCM,100081,http://metro.kingcounty.gov/tops/bus/schedules/s019_0_.html,Magnolia,19
,3,,,ST,100523,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/595-Weekday.xml,PT Route 595,595
,3,,,ST,100520,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/592-Weekday.xml,PT Route 592,592
,3,,,KCM,100082,http://metro.kingcounty.gov/tops/bus/schedules/s190_0_.html,Star Lk. P&R Via SODO Wy,190
,3,,,KCM,100005,http://metro.kingcounty.gov/tops/bus/schedules/s106_0_.html,Renton-Downtown Seattle,106
,3,,,KCM,100004,http://metro.kingcounty.gov/tops/bus/schedules/s105_0_.html,Renton Hub - Renton Highlands,105
,3,,,KCM,100186,http://metro.kingcounty.gov/tops/bus/schedules/s311_0_.html,Seattle/Woodinville,311
,3,,,KCM,100006,http://metro.kingcounty.gov/tops/bus/schedules/s107_0_.html,Rainier Beach/Renton Shuttle,107
,3,,,KCM,100001,http://metro.kingcounty.gov/tops/bus/schedules/s001_0_.html,kinnear,1
,3,,,KCM,100003,http://metro.kingcounty.gov/tops/bus/schedules/s101_0_.html,Renton Transit Center to CBD,101
,3,,,KCM,100002,http://metro.kingcounty.gov/tops/bus/schedules/s010_0_.html,capitol hill,10
,3,,,KCM,100481,http://metro.kingcounty.gov/tops/bus/schedules/s775_0_.html,Water Taxi shuttle Alki loop,775
,3,,,KCM,100201,http://metro.kingcounty.gov/tops/bus/schedules/s342_0_.html,Renton/Shoreline via Bell.&Bothell. for 2002,342
,3,,,KCM,100009,http://metro.kingcounty.gov/tops/bus/schedules/s011_0_.html,Madison,11
,3,,,KCM,100128,http://metro.kingcounty.gov/tops/bus/schedules/s236_0_.html,Woodinville/KTC shuttle,236
,3,,,KCM,100313,http://metro.kingcounty.gov/tops/bus/schedules/s935_0_.html,Kenmore/Finn Hill/Kingsgate P&R,935
,3,,,KCM,100129,http://metro.kingcounty.gov/tops/bus/schedules/s237_0_.html,Bellevue/Woodinville,237
,3,,,KCM,100459,http://metro.kingcounty.gov/tops/bus/schedules/s218_0_.html,Issaquah Highlands CBD,218
,3,,,KCM,100110,http://metro.kingcounty.gov/tops/bus/schedules/s219_0_.html,Factoria/Newport Hills/Coal Creek Pkwy,219
,3,,,KCM,100153,http://metro.kingcounty.gov/tops/bus/schedules/s261_0_.html,Seattle\Bellevue\Overlake,261
,3,,,KCM,100438,http://metro.kingcounty.gov/tops/bus/schedules/s821_0_.html,Newport Hills/NewportHS/IntlHS 821,821
,3,,,ST,100491,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/566-Weekday.xml,Auburn - Overlake,566
,3,,,ST,100434,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/532-Weekday.xml,Route 532,532
,3,,,ST,100435,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/535-Weekday.xml,Route 535,535
,3,,,ST,100430,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/510-Weekday.xml,ST Route 510,510
,3,,,ST,100431,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/511-Weekday.xml,Route 511,511
,3,,,ST,100432,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/513-Weekday.xml,Route 513,513
,3,,,KCM,100122,http://metro.kingcounty.gov/tops/bus/schedules/s230_0_.html,Bellevue/Redmond - Kingsgate/Kirkland,230
,3,,,KCM,100249,http://metro.kingcounty.gov/tops/bus/schedules/s060_0_.html,Beacon Hill/Broadway dist Shuttle,60
,3,,,KCM,100121,http://metro.kingcounty.gov/tops/bus/schedules/s023_0_.html,White Center to Downtown via Highland Pk,23
,3,,,KCM,100126,http://metro.kingcounty.gov/tops/bus/schedules/s234_0_.html,Bellevue/Kirkland/Kenmore,234
,3,,,KCM,100124,http://metro.kingcounty.gov/tops/bus/schedules/s232_0_.html,Bellevue/Redmond,232
,3,,,KCM,100125,http://metro.kingcounty.gov/tops/bus/schedules/s233_0_.html,Bellevue/Overlake,233
,3,,,ST,100243,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/560-Weekday.xml,Bellevue - West Seattle,560
,3,,,KCM,100242,http://metro.kingcounty.gov/tops/bus/schedules/s056_0_.html,Admiral Way/Alki,56
,3,,,ST,100241,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/555-Weekday.xml,Issaquah/NTC,555
,3,,,ST,100240,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/554-Weekday.xml,ST Issaquah - CBD,554
,3,,,KCM,100246,http://metro.kingcounty.gov/tops/bus/schedules/s057_0_.html,Admiral Way/Genesee Hill,57
,4,,,KMD,100336,http://www.kingcounty.gov/transportation/kcdot/Marine.aspx,West Seattle Water Taxi - Boat Schedule,973
,3,,,KCM,100030,http://metro.kingcounty.gov/tops/bus/schedules/s131_0_.html,Normandy Park,131
,3,,,KCM,100031,http://metro.kingcounty.gov/tops/bus/schedules/s132_0_.html,Des Moines,132
,3,,,KCM,100032,http://metro.kingcounty.gov/tops/bus/schedules/s133_0_.html,Burien/White Center/UW,133
,3,,,KCM,100033,http://metro.kingcounty.gov/tops/bus/schedules/s134_0_.html,Downtown to Burien viaPark Lake,134
,3,,,KCM,100299,http://metro.kingcounty.gov/tops/bus/schedules/s916_0_.html,Kent Shuttle (DART),916
,3,,,KCM,100038,http://metro.kingcounty.gov/tops/bus/schedules/s139_0_.html,Burien/Gregory Heights Shuttle,139
,3,,,KCM,100039,http://metro.kingcounty.gov/tops/bus/schedules/s014_0_.html,Route 14,14
,3,,,KCM,100324,http://metro.kingcounty.gov/tops/bus/schedules/s952_0_.html,Auburn P&R to Boeing Everett,952
,3,,,KCM,100111,http://metro.kingcounty.gov/tops/bus/schedules/s022_0_.html,West Seattle/White Center,22
,3,,,KCM,100048,http://metro.kingcounty.gov/tops/bus/schedules/s153_0_.html,Kent/Renton Shuttle,153
,3,,,KCM,100288,http://metro.kingcounty.gov/tops/bus/schedules/s892_0_.html,Mercer Island HS North Island,892
,3,,,KCM,100307,http://metro.kingcounty.gov/tops/bus/schedules/s925_0_.html,Newport Hills/Newcastle DART,925
,3,,,KCM,100493,http://metro.kingcounty.gov/tops/bus/schedules/s224_0_.html,Fall City Redmond Shuttle,224
,3,,,ST,100518,http://www.soundtransit.org/Riding-Sound-Transit/Schedules-and-Facilities/ST-Express-Bus/586-Weekday.xml,PT ST Route 586,586
,3,,,KCM,100258,http://metro.kingcounty.gov/tops/bus/schedules/s661_0_.html,tripper storage shuttle,661
,3,,,KCM,100489,http://metro.kingcounty.gov/tops/bus/schedules/s156_0_.html,SeaTac - Southcenter,156
,3,,,KCM,100152,http://metro.kingcounty.gov/tops/bus/schedules/s260_0_.html,Seattle/Juanita/Finn Hill,260
,4,,,KMD,100337,http://www.kingcounty.gov/transportation/kcdot/Marine.aspx,Vashon Passenger-Only Ferry,975
,3,,,KCM,100509,http://metro.kingcounty.gov/tops/bus/schedules/s824_0_.html,Newcastle/Factoria/International School 824,824
,3,,,KCM,100133,http://metro.kingcounty.gov/tops/bus/schedules/s240_0_.html,Bellevue\Renton,240
,3,,,KCM,100132,http://metro.kingcounty.gov/tops/bus/schedules/s024_0_.html,Magnolia via W Government Wy,24
,3,,,KCM,100135,http://metro.kingcounty.gov/tops/bus/schedules/s243_0_.html,Jackson Park to Wilburton P&R,243
,3,,,KCM,100134,http://metro.kingcounty.gov/tops/bus/schedules/s242_0_.html,North Seattle to Overlake,242
,3,,,KCM,100137,http://metro.kingcounty.gov/tops/bus/schedules/s246_0_.html,Bellevue/Somerset/Factoria - old,246
,3,,,KCM,100136,http://metro.kingcounty.gov/tops/bus/schedules/s245_0_.html,Factoria - Kirkland,245
,3,,,KCM,100139,http://metro.kingcounty.gov/tops/bus/schedules/s249_0_.html,Bellevue/Overlake/Redmond,249
,3,,,KCM,100138,http://metro.kingcounty.gov/tops/bus/schedules/s247_0_.html,Kent/Renton/Redmond Shuttle,247
,3,,,KCM,100146,http://metro.kingcounty.gov/tops/bus/schedules/s255_0_.html,Seattle/Kirkland/Kingsgate (Tunnel),255
,3,,,KCM,100051,http://metro.kingcounty.gov/tops/bus/schedules/s158_0_.html,E. Kent--Lk. Meridian Via I-5 & Seneca St. -C.B.D.,158
,3,,,KCM,100238,http://metro.kingcounty.gov/tops/bus/schedules/s055_0_.html,W. Sea. Admiral Dist,55
,3,,,KCM,100028,http://metro.kingcounty.gov/tops/bus/schedules/s013_0_.html,seattle pacific university,13
,3,,,KCM,100027,http://metro.kingcounty.gov/tops/bus/schedules/s129_0_.html,North Sea Tac/ Riverton Heights,129
,3,,,KCM,100026,http://metro.kingcounty.gov/tops/bus/schedules/s128_0_.html,West Seattle-White Center to SouthCenter,128
,3,,,KCM,100234,http://metro.kingcounty.gov/tops/bus/schedules/s054_0_.html,Fauntleroy/White Center,54
