stop_lat,stop_code,stop_lon,stop_id,stop_url,parent_station,stop_desc,stop_name,location_type,zone_id
47.6110802,,-122.321167,13282,,,,MADISON ST & HARVARD AVE,0,21
47.4645576,,-122.177361,60012,,,,LK YOUNGS WAY SE & KIRKLAND AVE SE,0,24
47.6043205,,-122.335777,170,,,,1ST AVE & MARION ST,0,1
47.7147789,,-122.18325,74226,,,,NE 128TH ST & TOTEM LK BLVD,0,19
47.7147446,,-122.185791,74225,,,,NE 128TH ST & 116TH AVE NE,0,19
47.7183075,,-122.18515,85420,,,,NE 132ND ST & TOTEM LK BLVD,0,19
47.6798401,,-122.164017,74223,,,,132ND AVE NE & NE 85TH ST,0,19
47.7185326,,-122.17926,74220,,,,NE 132ND ST & 121ST AVE NE,0,19
47.5347023,,-122.360687,36300,,,,DELRIDGE WAY SW & 21ST AVE SW,0,21
47.517292,,-122.358894,21280,,,,SW ROXBURY ST & 20TH AVE SW,0,3
47.5371323,,-122.281822,45651,,,,S OTHELLO ST & MARTIN L KING JR WAY S,0,21
47.4798737,,-122.208122,45305,,,,BURNETT AVE S & S 3RD ST,0,24
47.4809113,,-122.208122,45301,,,,BURNETT AVE S & S 2ND ST,0,24
47.5502129,,-122.334305,48220,,,,1ST AVE S & S FIDALGO ST,0,21
47.6396713,,-122.360519,41350,,,,W MCGRAW ST & 3RD AVE W,0,21
47.5540886,,-122.387093,20080,,,,CALIFORNIA AVE SW & SW BRANDON ST,0,21
47.6648026,,-122.308037,10390,,,,NE 50TH ST & 18TH AVE NE,0,21
47.5898666,,-122.379784,99997,,,,WATER TAXI ROUTE & HARBOR AVE SW,0,21
47.3591919,,-122.020554,99501,,,,MAPLE VALLY - BLA RD SE & SE KENT-KANGLEY RD,0,40
47.564415,,-122.386871,32010,,,,CALIFORNIA AVE SW & SW GENESEE ST,0,21
47.6388626,,-122.278534,12220,,,,42ND AVE E & E LYNN ST,0,21
47.6613197,,-122.338692,29232,,,,N 45TH ST & WOODLAWN AVE N,0,21
47.6132965,,-122.153458,70836,,,,140TH AVE NE & NE 3RD ST,0,19
47.6110382,,-122.153442,70834,,,,140TH AVE NE & NE 1ST ST,0,19
47.6900253,,-122.210068,70340,,,,MARKET ST & 18TH AVE W,0,19
47.669899,,-122.130836,72456,,,,WEST LK SAMMAMISH PKWY NE & LEARY WAY,0,19
47.6177139,,-122.153511,70838,,,,140TH AVE NE & NE 8TH ST,0,19
47.5494652,,-122.317001,40881,,,,AIRPT WAY S & S VALE ST,0,21
47.5482674,,-122.315987,40880,,,,13TH AVE S & S BAILEY ST,0,21
47.5504532,,-122.317978,40882,,,,AIRPT WAY S & S DORIS ST,0,21
47.5523949,,-122.319939,40885,,,,AIRPT WAY S & CORSON AVE S,0,21
47.333931,,-122.249039,57888,,,,W VALLEY HWY N & 29TH ST NW,0,24
47.6757355,,-122.321602,16509,,,,NE RAVENNA BLVD & NE 65TH ST,0,21
47.7123756,,-122.281929,9750,,,,SAND PT WAY NE & NE 115TH ST,0,21
47.3913918,,-122.292152,53504,,,,KENT-DM FWY STA,0,24
47.434391,,-122.287781,53505,,,,S 188TH ST & 36TH AVE S,0,24
47.3924484,,-122.292999,53506,,,,KENT-DM FWY STA,0,24
47.6683311,,-122.273598,10570,,,,SAND PT WAY NE & IVANHOE PL NE,0,21
47.4344635,,-122.294418,53501,,,,S 188TH ST & INTERNATIONAL BLVD,0,24
47.43433,,-122.281929,53502,,,,S 188TH ST & 42ND AVE S,0,24
47.3267937,,-122.249718,57882,,,,W VALLEY HWY N & 20TH ST NW,0,24
47.6900215,,-122.398209,18930,,,,32ND AVE NW & LOYAL WAY NW,0,21
47.5346298,,-122.356148,21420,,,,SW AUSTIN ST & DUMAR WAY SW,0,21
47.3192101,,-122.224861,58283,,,,D ST NE & 15TH ST NE,0,24
47.5419731,,-122.221581,63270,,,,ISLAND CREST WAY & SE 68TH ST,0,19
